music_id,singer_id,role
10001,202,Main Artist
10002,96,Main Artist
10003,101,Main Artist
10004,285,Main Artist
10005,51,Main Artist
10006,171,Main Artist
10007,261,Main Artist
10008,126,Main Artist
10009,154,Main Artist
10009,146,Featuring
10010,280,Main Artist
10011,278,Main Artist
10011,165,Featuring
10012,293,Main Artist
10013,162,Main Artist
10014,107,Main Artist
10014,176,Featuring
10015,182,Main Artist
10015,221,Featuring
10016,22,Main Artist
10017,125,Main Artist
10017,11,Featuring
10018,214,Main Artist
10019,251,Main Artist
10020,2,Main Artist
10021,256,Main Artist
10022,106,Main Artist
10022,17,Featuring
10023,164,Main Artist
10024,262,Main Artist
10025,288,Main Artist
10026,253,Main Artist
10027,110,Main Artist
10028,291,Main Artist
10029,93,Main Artist
10030,216,Main Artist
10030,99,Featuring
10031,120,Main Artist
10032,293,Main Artist
10033,83,Main Artist
10034,77,Main Artist
10035,150,Main Artist
10036,48,Main Artist
10037,274,Main Artist
10038,112,Main Artist
10039,161,Main Artist
10040,278,Main Artist
10041,108,Main Artist
10042,269,Main Artist
10043,18,Main Artist
10043,24,Featuring
10044,290,Main Artist
10045,24,Main Artist
10046,98,Main Artist
10047,51,Main Artist
10048,167,Main Artist
10049,77,Main Artist
10050,248,Main Artist
10051,24,Main Artist
10052,204,Main Artist
10052,288,Featuring
10053,250,Main Artist
10054,177,Main Artist
10055,263,Main Artist
10056,14,Main Artist
10057,23,Main Artist
10058,220,Main Artist
10059,3,Main Artist
10060,242,Main Artist
10061,146,Main Artist
10062,44,Main Artist
10063,296,Main Artist
10064,90,Main Artist
10064,96,Featuring
10065,94,Main Artist
10066,236,Main Artist
10066,88,Featuring
10067,42,Main Artist
10068,280,Main Artist
10069,286,Main Artist
10070,249,Main Artist
10071,268,Main Artist
10072,192,Main Artist
10073,45,Main Artist
10074,138,Main Artist
10075,256,Main Artist
10075,51,Featuring
10076,40,Main Artist
10077,51,Main Artist
10078,112,Main Artist
10079,65,Main Artist
10080,101,Main Artist
10081,140,Main Artist
10082,298,Main Artist
10083,273,Main Artist
10084,82,Main Artist
10085,209,Main Artist
10086,138,Main Artist
10087,283,Main Artist
10088,10,Main Artist
10089,97,Main Artist
10090,232,Main Artist
10091,141,Main Artist
10091,250,Featuring
10092,129,Main Artist
10092,88,Featuring
10093,157,Main Artist
10094,257,Main Artist
10095,198,Main Artist
10096,140,Main Artist
10096,155,Featuring
10097,113,Main Artist
10098,152,Main Artist
10099,227,Main Artist
10099,35,Featuring
10100,218,Main Artist
10101,219,Main Artist
10102,242,Main Artist
10103,200,Main Artist
10104,242,Main Artist
10104,282,Featuring
10105,29,Main Artist
10106,187,Main Artist
10107,69,Main Artist
10108,56,Main Artist
10109,126,Main Artist
10110,102,Main Artist
10111,85,Main Artist
10112,198,Main Artist
10113,202,Main Artist
10114,60,Main Artist
10115,213,Main Artist
10116,212,Main Artist
10117,12,Main Artist
10118,271,Main Artist
10119,114,Main Artist
10120,271,Main Artist
10121,96,Main Artist
10122,226,Main Artist
10122,179,Featuring
10123,30,Main Artist
10124,19,Main Artist
10125,97,Main Artist
10126,127,Main Artist
10127,79,Main Artist
10128,43,Main Artist
10129,103,Main Artist
10130,129,Main Artist
10131,156,Main Artist
10132,175,Main Artist
10133,292,Main Artist
10134,295,Main Artist
10135,82,Main Artist
10135,239,Featuring
10136,254,Main Artist
10137,104,Main Artist
10138,194,Main Artist
10138,159,Featuring
10139,56,Main Artist
10140,106,Main Artist
10141,93,Main Artist
10142,189,Main Artist
10143,80,Main Artist
10144,137,Main Artist
10145,54,Main Artist
10146,59,Main Artist
10147,111,Main Artist
10148,217,Main Artist
10149,47,Main Artist
10150,22,Main Artist
10151,29,Main Artist
10152,120,Main Artist
10153,194,Main Artist
10154,248,Main Artist
10155,187,Main Artist
10156,185,Main Artist
10157,81,Main Artist
10158,31,Main Artist
10159,180,Main Artist
10159,169,Featuring
10160,197,Main Artist
10161,39,Main Artist
10162,123,Main Artist
10163,93,Main Artist
10164,261,Main Artist
10165,283,Main Artist
10166,36,Main Artist
10167,10,Main Artist
10168,185,Main Artist
10169,23,Main Artist
10169,244,Featuring
10170,163,Main Artist
10171,155,Main Artist
10172,135,Main Artist
10172,142,Featuring
10173,98,Main Artist
10173,89,Featuring
10174,113,Main Artist
10174,33,Featuring
10175,74,Main Artist
10175,285,Featuring
10176,55,Main Artist
10177,200,Main Artist
10178,192,Main Artist
10179,242,Main Artist
10180,11,Main Artist
10180,189,Featuring
