user_id,music_id,rating,body,created_at
1730,12502,4,Là và đã cũng. Cho vài cũng không mỗi không vì.,2025-07-27 22:36:58
1386,16023,5,Chỉ của chỉ trong hơn từ. Hơn và sẽ hơn.,2024-03-14 01:52:51
2433,15156,5,Sẽ giống tại làm bên làm. Chưa vài vì vài vì như.,2024-08-17 23:11:43
1191,17359,5,Bên một đang mà sẽ làm vì nhiều.,2024-05-04 08:33:53
4989,16410,4,Các là nào để. Sẽ cũng của bên vẫn.,2024-11-11 13:34:37
1064,12770,2,Nơi điều bạn với. Này giống tại khiến mà.,2025-02-25 20:52:44
2918,18663,5,Cũng một từng rất sẽ vẫn. Chỉ tự lớn rất hoặc.,2025-09-20 23:31:47
481,19160,2,Rất cũng của với sẽ một bên về.,2025-01-04 11:53:12
4710,16221,2,Với có chỉ. Nếu có lớn đó theo cách để.,2025-05-09 09:43:48
1277,11864,3,Như cũng lớn cho. Lớn về cách để với nếu.,2025-12-15 12:37:59
3823,11916,4,Hoặc một vì. Từ từng rất cũng.,2024-04-24 15:56:55
1584,16096,4,Hơn tại tự hoặc. Hoặc mỗi rất trong là.,2024-07-03 19:47:09
3713,16590,5,Đã nhưng đó tại. Từ thay các được.,2025-12-08 15:15:06
858,14506,3,Và bên chỉ trong của. Cái của để vậy nơi hơn.,2024-06-21 11:50:33
4542,16693,4,Rất được với làm. Hơn về đến cũng bên.,2025-08-29 18:16:43
4687,17496,4,Của người như gần trong tôi.,2025-04-12 10:04:53
2717,19677,3,Các lớn có. Mỗi sẽ từng từng này. Nếu hơn nơi.,2024-09-07 12:44:10
3212,10519,2,Mỗi nếu vài. Sau tại của mà để.,2024-03-23 21:02:09
3401,18274,3,Nhiều như chưa một cho. Hơn làm của số.,2024-01-05 22:10:51
1990,16496,2,Với đã với số nhiều từng. Các hoặc của hơn.,2025-05-18 02:32:05
1786,18249,2,Tôi tại của để lớn. Để từ trong như cũng.,2024-08-31 02:25:13
2139,13772,5,Để cho này. Về khiến chưa về.,2025-06-11 10:57:38
631,13395,3,Sẽ nào điều đến để là là. Để tôi giống điều.,2025-03-07 20:03:42
3868,18046,4,Cách nào đến để hơn. Tự tôi trong tại này thay.,2024-02-08 14:14:44
1945,13831,3,Sau như là điều. Khi vài trong cũng cái lớn.,2024-05-22 23:37:03
413,13187,5,Về dưới thế đi tự theo tại.,2025-06-23 10:07:33
2165,18846,3,Nơi và bạn mỗi khiến và. Cũng để tôi rất.,2025-04-04 13:26:31
