music_id,title,release_year,genre_id,type_id,created_at
10001,Hơn nơi số,2022,7,4,2022-10-18 20:33:27
10002,Hơn tại,2021,8,4,2021-02-26 15:18:32
10003,Cách để theo,2022,8,3,2022-02-07 09:28:09
10004,Này về cũng,2022,6,1,2022-02-18 07:02:08
10005,Trong và trong,2022,7,2,2022-11-04 07:38:45
10006,Như vậy,2021,8,2,2021-07-13 20:45:48
10007,Trong đúng,2021,10,3,2021-04-19 10:54:09
10008,Tại để,2025,3,4,2025-12-07 19:40:15
10009,Tại mà vì,2021,6,4,2021-03-26 02:40:02
10010,Tại nào,2025,10,1,2025-04-28 09:25:11
10011,Nhiều nơi,2023,4,1,2023-03-05 01:52:25
10012,Tôi theo số,2022,2,3,2022-04-29 09:40:12
10013,Cách từ số,2024,8,3,2024-06-25 19:56:09
10014,Cũng có dưới,2022,10,1,2022-09-26 01:57:24
10015,Khiến mà,2025,2,1,2025-05-18 23:37:45
10016,Tôi vẫn số,2024,1,1,2024-11-08 15:40:37
10017,Trong của nơi,2022,5,4,2022-11-04 10:22:57
10018,Nơi,2024,2,3,2024-10-15 22:42:57
10019,Làm tại cái,2024,4,2,2024-04-22 11:56:21
10020,Cũng từ của từ,2025,7,1,2025-11-25 17:16:48
10021,Số là,2025,3,3,2025-07-26 17:33:11
10022,Các trong nhưng,2023,4,2,2023-04-05 06:44:23
10023,Đã đã,2024,8,3,2024-03-01 16:38:16
10024,Từ số,2021,5,4,2021-06-03 17:16:02
10025,Như từng,2022,7,1,2022-12-20 22:19:27
10026,Vẫn giống,2021,7,1,2021-10-13 15:55:20
10027,Với số,2025,7,2,2025-08-05 13:04:01
10028,Thay lớn,2022,1,4,2022-09-03 00:35:09
10029,Tôi nơi,2022,7,3,2022-03-01 04:14:55
10030,Trong nhiều cách,2025,6,4,2025-09-15 05:05:23
10031,Tôi mà mà làm,2023,10,2,2023-10-26 08:47:40
10032,Điều cũng thì,2023,6,2,2023-03-24 09:47:15
10033,Từ trong khi,2025,5,2,2025-04-24 23:26:16
10034,Từng,2024,10,3,2024-10-21 16:26:11
10035,Mỗi điều chỉ,2021,4,2,2021-04-10 17:18:02
10036,Hoặc vẫn là,2023,7,3,2023-03-18 16:58:57
10037,Cũng,2021,6,4,2021-11-03 10:59:50
10038,Sau của,2022,8,1,2022-01-22 14:32:04
10039,Hoặc để,2021,9,3,2021-07-08 16:31:30
10040,Khi chưa khiến vài,2023,1,2,2023-04-09 18:53:49
10041,Từ đến,2025,8,4,2025-10-25 02:37:59
10042,Mỗi cái,2021,2,1,2021-11-21 18:11:24
10043,Là khi vậy,2024,8,3,2024-11-06 17:54:12
10044,Từ của,2024,3,4,2024-08-05 08:07:00
10045,Chỉ dưới,2023,7,2,2023-11-19 02:00:46
10046,Vậy như,2023,6,2,2023-04-07 04:45:06
10047,Vậy để,2024,4,1,2024-02-03 18:07:28
10048,Hơn nếu sau,2021,9,2,2021-01-27 19:07:33
10049,Khi có,2021,9,1,2021-09-08 08:07:20
10050,Nơi lớn,2021,1,4,2021-09-12 19:51:33
10051,Như như,2021,9,1,2021-03-06 23:43:23
10052,Một gần tôi,2025,7,2,2025-03-22 07:02:58
10053,Theo dưới,2021,9,3,2021-12-09 06:23:29
10054,Và đến,2022,8,4,2022-04-06 21:38:00
10055,Của khiến tại,2023,3,2,2023-02-20 22:19:24
10056,Vì đó,2024,5,1,2024-01-22 12:36:12
10057,Thì một đang,2021,8,3,2021-07-25 22:06:51
10058,Hơn dưới có,2023,5,4,2023-05-04 10:52:42
10059,Trong có gần,2024,10,2,2024-04-11 08:22:28
10060,Sau với,2024,10,4,2024-07-19 03:30:59
10061,Theo tại với và,2025,5,3,2025-08-08 01:31:59
10062,Như trong,2025,2,2,2025-11-29 16:48:23
10063,Lớn,2023,3,3,2023-01-04 00:59:22
10064,Vậy có có của,2023,5,4,2023-05-25 16:00:01
10065,Cho cái,2025,2,1,2025-07-06 20:27:56
10066,Bạn,2021,5,3,2021-09-29 10:56:48
10067,Vài làm,2023,5,3,2023-06-17 21:39:42
10068,Cũng như tự,2022,1,1,2022-04-01 10:34:11
10069,Bạn giữa,2025,1,1,2025-02-04 08:41:59
10070,Với tại,2025,3,1,2025-11-10 14:39:45
10071,Cái để của,2023,1,1,2023-08-11 23:22:56
10072,Người hơn thay,2023,10,1,2023-07-21 15:04:27
10073,Để là vẫn,2022,9,4,2022-11-18 12:30:45
10074,Trong tôi,2022,6,4,2022-03-02 16:27:21
10075,Chưa nhiều,2023,9,3,2023-11-26 00:01:02
10076,Một khiến đi,2025,8,2,2025-03-16 00:07:25
10077,Từng của,2022,3,2,2022-05-23 13:37:26
10078,Mà rất,2023,9,1,2023-09-11 02:37:39
10079,Tại cũng từ,2025,3,1,2025-07-16 12:32:33
10080,Với có,2024,5,4,2024-09-18 16:24:24
10081,Số của,2025,7,2,2025-01-03 10:26:24
10082,Giống số,2022,7,3,2022-10-03 04:58:08
10083,Bên trong,2022,8,2,2022-03-27 13:05:09
10084,Và với các,2022,7,4,2022-10-29 04:26:43
10085,Để về,2022,9,2,2022-02-10 23:20:40
10086,Tôi cái với,2024,6,2,2024-01-12 15:30:05
10087,Để hơn,2023,8,3,2023-11-07 09:44:39
10088,Cái từ,2022,2,1,2022-05-05 12:31:04
10089,Sẽ từ,2024,10,2,2024-11-27 01:34:47
10090,Tự này,2023,3,3,2023-09-23 10:09:17
10091,Lớn,2022,3,4,2022-07-27 14:32:46
10092,Giống đúng,2024,10,2,2024-08-18 15:11:03
10093,Từ với làm,2025,9,2,2025-06-05 23:34:21
10094,Cho cách,2022,10,2,2022-11-11 09:28:32
10095,Thế điều để,2023,10,4,2023-08-08 22:06:57
10096,Từng tại cũng,2021,8,4,2021-09-01 01:05:20
10097,Của điều,2025,9,3,2025-02-13 23:58:17
10098,Đến trong khi đó,2024,8,2,2024-03-25 06:36:58
10099,Nơi theo người,2022,10,4,2022-08-24 20:46:34
10100,Mà để,2021,7,4,2021-10-30 15:21:13
10101,Về điều,2024,8,4,2024-11-15 19:27:16
10102,Bạn với để,2023,7,2,2023-10-01 15:38:53
10103,Dưới hơn chỉ,2023,1,2,2023-11-13 13:35:05
10104,Nào,2025,7,2,2025-12-15 10:52:09
10105,Nhưng một,2022,1,4,2022-05-03 10:11:34
10106,Chỉ nơi,2025,9,3,2025-07-02 15:19:34
10107,Đến lớn,2021,2,4,2021-11-01 09:18:38
10108,Cái,2023,10,3,2023-12-15 19:43:14
10109,Là vẫn từng,2024,10,1,2024-07-12 07:13:44
10110,Cũng sau,2022,6,1,2022-04-27 08:07:20
10111,Đến số cũng,2025,4,4,2025-09-21 12:59:30
