user_id,music_id,added_at
2427,2266,2006-01-06 19:03:22.000000
681,1274,2017-12-28 21:19:53.000000
9860,13215,2020-11-26 20:09:58.000000
6494,4855,2006-11-01 23:17:48.000000
1159,10912,2022-07-28 22:08:19.000000
6204,4856,2001-12-13 14:20:05.000000
3431,6148,1999-12-05 06:40:28.000000
3259,16225,2020-12-24 18:08:41.000000
343,4455,2023-05-24 20:45:42.000000
9552,8714,2000-07-22 22:37:52.000000
1658,13383,2007-11-27 21:27:21.000000
8204,8126,2002-03-23 10:10:33.000000
5558,6561,2007-04-28 00:35:25.000000
7545,17021,2001-11-21 13:19:14.000000
2180,11306,2004-01-04 11:21:40.000000
906,19190,2012-07-14 05:01:22.000000
983,1944,1995-09-10 20:42:43.000000
4851,2578,2015-12-19 10:42:44.000000
87,12069,2025-12-23 01:51:25.000000
3430,5361,2020-05-20 01:03:57.000000
2693,13682,1997-05-15 23:22:24.000000
7132,15727,2020-08-17 15:23:58.000000
6636,14608,2004-05-29 21:02:50.000000
9203,19847,2022-01-29 15:08:23.000000
8306,13212,1998-11-02 06:36:38.000000
4680,4511,2023-01-12 03:54:12.000000
6852,19862,1999-11-20 07:17:25.000000
8524,5430,2012-04-09 10:50:05.000000
637,4842,2022-04-10 20:18:57.000000
3203,1985,2003-08-28 11:50:45.000000
132,9345,2008-01-11 19:03:12.000000
699,12924,2024-10-31 09:12:32.000000
9717,7795,2013-08-17 01:34:13.000000
6576,8020,1997-03-29 20:46:39.000000
5018,38,2023-12-04 10:41:50.000000
8045,13850,2020-12-04 17:02:42.000000
4337,13500,2023-06-02 06:08:49.000000
5218,17016,2011-07-02 03:26:11.000000
9957,15526,2005-08-25 06:38:47.000000
7249,3559,2014-08-23 19:13:55.000000
3826,6790,2017-10-04 20:34:29.000000
3333,3121,2015-08-25 02:46:51.000000
1646,12821,1997-03-25 01:13:10.000000
901,14556,2008-06-02 06:56:59.000000
8717,6724,2011-12-30 03:32:41.000000
3303,6968,2015-09-22 21:24:52.000000
9830,5522,2011-09-09 08:03:54.000000
7097,18274,2014-10-13 21:24:24.000000
7138,12816,2025-12-09 02:03:10.000000
1174,12171,2011-09-07 12:08:07.000000
391,6865,2025-08-26 08:42:21.000000
4001,14360,2019-01-17 00:48:25.000000
866,2986,2012-12-25 18:45:37.000000
8668,13884,2021-08-28 15:54:38.000000
767,13034,1997-11-11 10:23:05.000000
1933,11817,2010-12-13 06:41:11.000000
509,4929,2025-10-19 17:27:30.000000
6089,10224,2011-04-25 03:19:33.000000
5700,13432,2020-12-18 20:14:11.000000
710,9508,2015-09-04 16:03:04.000000
1720,7400,2023-07-10 09:52:43.000000
4059,19588,2005-07-10 20:00:04.000000
1647,1304,2020-09-05 05:07:09.000000
2203,19232,2009-10-03 17:47:13.000000
2967,19686,2001-07-24 23:10:47.000000
1363,15300,1997-06-12 20:13:01.000000
844,8606,2016-07-25 10:13:46.000000
5609,15176,2003-06-12 15:44:30.000000
7887,2282,1996-08-07 10:47:05.000000
1014,7068,2025-04-15 23:30:03.000000
4976,6656,2025-03-13 08:14:11.000000
9496,17318,2015-04-11 20:46:08.000000
7965,3397,2000-05-25 19:58:12.000000
3581,7725,2005-07-07 09:47:31.000000
7586,12626,2013-07-27 02:16:20.000000
6502,966,2023-06-11 05:02:53.000000
1640,17091,2005-02-19 13:17:59.000000
5853,3791,1997-09-28 22:44:53.000000
5241,4501,2008-08-05 09:53:04.000000
189,3279,1999-02-18 06:29:27.000000
1830,4285,2024-10-04 21:38:21.000000
1844,5520,2000-01-21 11:54:08.000000
2060,16571,2013-08-26 10:33:39.000000
7650,258,2006-09-29 06:37:09.000000
6779,10922,2019-06-17 12:38:14.000000
6744,12921,2019-11-18 16:15:02.000000
949,18376,2020-09-25 09:23:16.000000
2852,9273,2009-11-08 09:25:36.000000
2967,654,2008-02-02 08:48:22.000000
8700,9982,2003-02-20 15:18:44.000000
3953,16569,1999-03-19 01:42:49.000000
9245,17884,2014-07-09 02:58:37.000000
4933,369,2000-07-13 14:43:25.000000
6738,1284,1999-01-21 00:45:10.000000
2580,12120,2007-06-19 06:22:33.000000
6254,18751,2009-02-28 21:59:05.000000
3169,893,2013-04-21 09:14:55.000000
6558,15545,2001-04-17 05:35:36.000000
4845,653,2003-05-16 14:20:27.000000
6144,17084,2023-07-20 02:29:31.000000
9585,18562,2008-02-12 16:42:09.000000
7953,19928,2007-05-22 05:01:25.000000
8922,14414,2009-09-16 05:57:46.000000
544,10444,2003-05-28 05:58:55.000000
3323,13829,2019-12-18 07:12:08.000000
6038,13392,1998-04-15 14:15:05.000000
9081,15521,2018-09-02 07:23:35.000000
2228,15457,1997-04-10 00:52:53.000000
6584,1350,2005-05-02 06:22:03.000000
9551,11502,2007-01-09 04:59:33.000000
4731,16150,2018-09-22 22:36:39.000000
7680,19380,2021-06-21 03:40:17.000000
3637,13352,2023-06-12 10:25:52.000000
7500,10041,2014-06-30 08:22:39.000000
9742,11206,2025-10-27 17:35:05.000000
9051,18721,2024-06-15 22:31:36.000000
3369,11525,2018-03-24 21:29:06.000000
1858,4075,2000-11-03 16:44:42.000000
8482,11819,2005-06-06 23:39:47.000000
1577,856,2011-08-24 14:04:35.000000
1259,4884,2025-05-26 16:14:22.000000
7038,9285,2009-03-29 01:23:43.000000
435,1165,1996-04-09 23:05:57.000000
7459,7439,2001-04-05 12:20:23.000000
4213,1945,2011-07-29 03:07:46.000000
3317,1953,2010-04-02 09:37:28.000000
4836,16205,2008-07-17 00:05:44.000000
8947,9557,2018-09-15 11:28:51.000000
9280,19985,1995-05-10 18:02:03.000000
8362,9493,2006-07-27 10:26:19.000000
6120,2728,2021-12-28 18:03:28.000000
9961,19102,1996-11-15 04:06:41.000000
4435,6658,1997-05-05 20:49:03.000000
7374,2918,1998-11-11 15:30:56.000000
