music_id,singer_id,role
8362,1,Main Artist
6669,2,Main Artist
3071,3,Main Artist
7506,4,Main Artist
8710,5,Main Artist
17065,6,Main Artist
8383,7,Main Artist
1374,8,Main Artist
19078,9,Main Artist
15027,10,Main Artist
4357,11,Main Artist
4463,12,Main Artist
16691,13,Main Artist
3095,14,Main Artist
15035,15,Main Artist
13374,16,Main Artist
7814,17,Main Artist
15064,18,Main Artist
3383,19,Main Artist
11567,20,Main Artist
15259,21,Main Artist
13658,22,Main Artist
16986,23,Main Artist
2680,24,Main Artist
5907,25,Main Artist
11025,26,Main Artist
8533,27,Main Artist
6020,28,Main Artist
19911,29,Main Artist
6620,30,Main Artist
1792,31,Main Artist
8219,32,Main Artist
2204,33,Main Artist
18979,34,Main Artist
18299,35,Main Artist
19888,36,Main Artist
12463,37,Main Artist
1623,38,Main Artist
9823,39,Main Artist
12403,40,Main Artist
12941,41,Main Artist
4570,42,Main Artist
8057,43,Main Artist
161,44,Main Artist
3951,45,Main Artist
17486,46,Main Artist
2221,47,Main Artist
4591,48,Main Artist
10605,49,Main Artist
1887,50,Main Artist
15492,51,Main Artist
5489,52,Main Artist
4477,53,Main Artist
7980,54,Main Artist
19440,55,Main Artist
7162,56,Main Artist
13213,57,Main Artist
3014,58,Main Artist
5969,59,Main Artist
7588,60,Main Artist
15640,61,Main Artist
1393,62,Main Artist
10862,63,Main Artist
12278,64,Main Artist
2514,65,Main Artist
11493,66,Main Artist
63,67,Main Artist
15438,68,Main Artist
1050,69,Main Artist
4904,70,Main Artist
16078,71,Main Artist
11054,72,Main Artist
15969,73,Main Artist
12902,74,Main Artist
17661,75,Main Artist
2261,76,Main Artist
18528,77,Main Artist
13962,78,Main Artist
11386,79,Main Artist
12944,80,Main Artist
10713,81,Main Artist
8864,82,Main Artist
6318,83,Main Artist
834,84,Main Artist
3331,85,Main Artist
1486,86,Main Artist
6629,87,Main Artist
13062,88,Main Artist
2627,89,Main Artist
18163,90,Main Artist
16262,91,Main Artist
16858,92,Main Artist
10007,93,Main Artist
2483,94,Main Artist
13550,95,Main Artist
9523,96,Main Artist
572,97,Main Artist
12019,98,Main Artist
10246,99,Main Artist
16501,100,Main Artist
2352,101,Main Artist
6014,102,Main Artist
2675,103,Main Artist
13151,104,Main Artist
10865,105,Main Artist
1294,106,Main Artist
155,107,Main Artist
10809,108,Main Artist
2348,109,Main Artist
10090,110,Main Artist
14470,111,Main Artist
11710,112,Main Artist
1524,113,Main Artist
12016,114,Main Artist
